day,km
2023-02-12 15:40:48,3.02
2023-02-11 11:12:44,1.60
2023-02-01 15:02:01,3.44
2023-01-30 17:21:51,3.83
2023-01-27 18:46:54,3.16
2023-01-22 15:45:58,4.70
2023-01-20 19:03:22,4.03
2023-01-16 22:13:58,5.47
2023-01-13 19:42:14,4.03
2023-01-10 21:51:35,3.52
2023-01-07 11:22:53,5.30
2023-01-02 11:57:17,3.11
2022-12-29 15:26:18,5.03
2022-12-27 14:56:54,4.55
2022-12-25 16:13:31,3.08
2022-12-23 18:22:12,3.04
2022-12-15 22:34:41,3.26
2022-12-13 21:45:31,5.10
2022-12-08 19:03:32,3.02
2022-12-02 18:56:07,3.04
2022-11-30 18:53:23,2.02
2022-11-24 18:51:21,4.01
2022-11-21 18:45:11,3.50
2022-11-19 09:41:09,4.02
2022-11-17 13:42:05,2.01
2022-11-13 08:55:29,5.02
2022-11-07 21:21:07,4.93
2022-11-05 13:57:13,4.02
2022-11-01 19:20:36,5.19
2022-10-30 10:34:10,3.16
2022-10-29 11:04:07,5.5
2022-10-26 21:13:04,5.3
2022-10-23 19:56:44,2.66
2022-10-21 18:48:12,6.44
2022-10-19 19:46:15,4.06
2022-10-17 21:33:19,1.5
2022-09-30 9:35:53,3.02
2022-09-25 9:08:44,4.67
2022-09-23 17:07:01,2.01
2022-09-15 22:29:53,2.21
2022-09-11 20:14:04,5.07
2022-09-09 18:29:11,6.04
2022-09-07 21:11:01,3.52
2022-09-05 21:30:16,2.01
2022-09-02 21:26:34,3.51
2022-08-28 21:18:29,3.36
2022-08-27 10:36:04,3.35
2022-08-26 21:13:47,3.52
2022-08-25 21:02:43,5.23
2022-08-23 20:25:32,4.05
2022-08-22 18:41:32,5.17
2022-08-20 18:09:27,3.16
2022-08-17 17:56:36,4.03
2022-08-15 18:13:38,4.01
2022-08-05 18:29:17,5.03
2022-07-29 18:22:04,3.06
2022-07-25 19:52:45,3.38
2022-07-22 20:05:42,3.13
2022-07-19 19:47:36,3.03
2022-07-16 9:38:00,3.35
2022-07-11 21:47:08,3.07
2022-07-09 10:21:00,3.08
2022-07-07 21:58:01,5.07
2022-07-04 20:49:44,5.02
2022-06-29 18:43:17,2.79
2022-06-28 20:22:00,3.33
2022-06-27 18:20:17,3.35
2022-06-23 18:57:45,4.04
2022-06-15 18:42:34,3.43
2022-06-13 21:19:12,5.38
2022-06-09 19:34:16,4.06
2022-06-07 22:29:25,5.05
2022-06-03 15:57:29,0.74
2022-06-01 18:27:18,3.03
2022-05-31 20:47:25,3.23
2022-05-30 18:42:14,2.03
2022-05-21 17:25:22,5.05
2022-05-18 19:11:27,2.84
2022-05-16 21:34:47,3.43
2022-05-11 18:45:34,4.4
2022-05-06 11:43:11,4.06
2022-05-03 13:09:23,3.22
2022-05-02 10:48:11,3.23
2022-05-01 11:45:09,3.03
2022-04-28 15:16:12,3.34
2022-04-25 19:15:22,3.02
2022-04-22 21:39:33,3.02
2022-04-21 18:12:57,3.03
2022-04-19 18:09:58,5.15
2022-04-15 20:57:43,0.42
2022-04-11 18:52:21,3.22
2022-04-09 15:43:37,5.02
2022-04-06 18:14:32,4.02
2022-04-05 16:51:27,3.23
2022-04-01 18:31:01,3.48
2022-03-27 14:47:51,2.97
2022-03-24 20:07:51,2.27
2022-03-17 18:56:07,4.12
2022-03-16 21:00:25,3.19
2022-03-15 19:08:37,3.01
2022-03-11 18:37:31,3.16
2022-03-07 18:17:56,3.02
2022-03-04 18:37:21,2.22
2022-03-03 18:14:43,3.03
2022-02-28 16:49:44,3.26
2022-02-26 14:56:19,4.02
2022-02-24 18:16:43,2.04
2022-02-23 17:09:48,3.02
2022-02-22 17:27:22,2.03
2022-02-19 15:16:50,2.48
2022-02-18 19:05:26,3.28
2022-02-17 19:11:16,2.02
2022-02-16 20:46:02,2.02
2022-02-15 18:18:11,3.01
2022-02-07 18:51:31,2.7
2022-02-05 16:47:52,2.26
2022-02-03 18:43:18,3.35
2022-02-01 17:47:51,3.03
2022-01-29 14:44:43,2.55
2022-01-27 18:38:15,3.5
2022-01-24 19:03:32,1.01
2022-01-22 18:35:35,3.04
2022-01-19 20:34:06,2.4
2022-01-17 18:41:07,2.04
2022-01-15 16:48:23,4.03
2022-01-14 18:59:42,2.9
2022-01-12 18:27:41,3.02
2022-01-09 11:54:32,2.74
2022-01-05 18:22:51,1.91
2022-01-04 15:35:22,3.07
2022-01-03 17:54:50,2.38
2022-01-02 16:02:14,2.13
